,id,name,type,summary,difficulty,stars,starVotes,location,url,imgSqSmall,imgSmall,imgSmallMed,imgMedium,length,ascent,descent,high,low,longitude,latitude,conditionStatus,conditionDetails,conditionDate
0,3671983,Monarch Crest - IMBA EPIC,Recommended Route,One of Colorado's top 5 epic rides - classic high-altitude riding in the Rockies!,black,4.7,300,crested_butte,https://www.mtbproject.com/trail/3671983/monarch-crest-imba-epic,https://cdn2.apstatic.com/photos/mtb/7013256_sqsmall_1554845579.jpg,https://cdn2.apstatic.com/photos/mtb/7013256_small_1554845579.jpg,https://cdn2.apstatic.com/photos/mtb/7013256_smallMed_1554845579.jpg,https://cdn2.apstatic.com/photos/mtb/7013256_medium_1554845579.jpg,36.2,2035,-5890,11962,7458,-106.3254,38.4965,All Clear,Mostly Dry,2020-07-18 22:20:48
1,338027,401 Trail Loop,Recommended Route,The Crested Butte mega classic! High alpine meadows with unbeatable views.,blueBlack,4.7,329,crested_butte,https://www.mtbproject.com/trail/338027/401-trail-loop,https://cdn2.apstatic.com/photos/mtb/7004088_sqsmall_1554405621.jpg,https://cdn2.apstatic.com/photos/mtb/7004088_small_1554405621.jpg,https://cdn2.apstatic.com/photos/mtb/7004088_smallMed_1554405621.jpg,https://cdn2.apstatic.com/photos/mtb/7004088_medium_1554405621.jpg,14.1,2249,-2222,11335,9584,-106.9937,38.9661,All Clear,Dry,2020-07-18 15:29:09
2,42669,Doctor Park,Recommended Route,"A local favorite with a tough grind of a climb, then fast, flowy singletrack as a reward.",black,4.6,198,crested_butte,https://www.mtbproject.com/trail/42669/doctor-park,https://i.vimeocdn.com/video/494611652_640.jpg,https://i.vimeocdn.com/video/494611652_640.jpg,https://i.vimeocdn.com/video/494611652_640.jpg,https://i.vimeocdn.com/video/494611652_640.jpg,20.1,2734,-2719,10913,8335,-106.758,38.7301,All Clear,Mostly Dry,2020-07-18 12:18:00
3,963897,Teocalli Ridge Loop,Recommended Route,"A tough climb, great views, and a fun, long downhill",black,4.6,117,crested_butte,https://www.mtbproject.com/trail/963897/teocalli-ridge-loop,https://img.youtube.com/vi/6fwbUcCzL8I/hqdefault.jpg,https://img.youtube.com/vi/6fwbUcCzL8I/hqdefault.jpg,https://img.youtube.com/vi/6fwbUcCzL8I/hqdefault.jpg,https://img.youtube.com/vi/6fwbUcCzL8I/hqdefault.jpg,11.5,2149,-2146,11247,9135,-106.8852,38.8969,All Clear,Dry,2020-07-09 15:17:25
4,656218,Strand Hill,Recommended Route,One of the best rides in the valley.,blueBlack,4.4,98,crested_butte,https://www.mtbproject.com/trail/656218/strand-hill,https://cdn2.apstatic.com/photos/mtb/7005437_sqsmall_1554823529.jpg,https://cdn2.apstatic.com/photos/mtb/7005437_small_1554823529.jpg,https://cdn2.apstatic.com/photos/mtb/7005437_smallMed_1554823529.jpg,https://cdn2.apstatic.com/photos/mtb/7005437_medium_1554823529.jpg,7.5,874,-874,9752,8917,-106.913,38.8644,All Clear,Dry,2020-07-12 11:53:22
5,651609,Reno/Flag/Bear/Deadman's Gulch,Recommended Route,A Crested Butte classic with 3 distinct uphills and 3 distinct downhills,black,4.3,96,crested_butte,https://www.mtbproject.com/trail/651609/renoflagbeardeadmans-gulch,https://cdn2.apstatic.com/photos/mtb/7014839_sqsmall_1554911812.jpg,https://cdn2.apstatic.com/photos/mtb/7014839_small_1554911812.jpg,https://cdn2.apstatic.com/photos/mtb/7014839_smallMed_1554911812.jpg,https://cdn2.apstatic.com/photos/mtb/7014839_medium_1554911812.jpg,18.9,3253,-3272,11130,9447,-106.8051,38.8592,Unknown,,1970-01-01 00:00:00
6,7003580,"Snodgrass, Lupine, Lower Loop Combo",Recommended Route,A classic intermediate loop close to town.,blue,4.4,65,crested_butte,https://www.mtbproject.com/trail/7003580/snodgrass-lupine-lower-loop-combo,https://cdn2.apstatic.com/photos/mtb/7022115_sqsmall_1554930077.jpg,https://cdn2.apstatic.com/photos/mtb/7022115_small_1554930077.jpg,https://cdn2.apstatic.com/photos/mtb/7022115_smallMed_1554930077.jpg,https://cdn2.apstatic.com/photos/mtb/7022115_medium_1554930077.jpg,22.4,1801,-1778,9977,8856,-106.9805,38.8698,All Clear,Dry,2020-07-17 15:47:10
7,951198,Rim Trail Loop,Recommended Route,Great singletrack ride with awesome views!,blue,4.6,61,crested_butte,https://www.mtbproject.com/trail/951198/rim-trail-loop,https://cdn2.apstatic.com/photos/mtb/4080598_sqsmall_1554326491.jpg,https://cdn2.apstatic.com/photos/mtb/4080598_small_1554326491.jpg,https://cdn2.apstatic.com/photos/mtb/4080598_smallMed_1554326491.jpg,https://cdn2.apstatic.com/photos/mtb/4080598_medium_1554326491.jpg,11.0,1729,-1726,9171,7884,-106.923,39.2258,All Clear,Dry,2020-07-09 15:16:25
8,7003702,Seize the Cheese,Recommended Route,"A sample ride of some of the most scenic, buff, and fun singletrack you'll ever ride.",blue,4.7,55,crested_butte,https://www.mtbproject.com/trail/7003702/seize-the-cheese,https://cdn2.apstatic.com/photos/mtb/7019405_sqsmall_1554925039.jpg,https://cdn2.apstatic.com/photos/mtb/7019405_small_1554925039.jpg,https://cdn2.apstatic.com/photos/mtb/7019405_smallMed_1554925039.jpg,https://cdn2.apstatic.com/photos/mtb/7019405_medium_1554925039.jpg,20.1,1813,-1823,7692,6958,-107.7326,38.1745,Minor Issues,Muddy,2020-07-17 17:04:57
9,380438,Colorado Trail: Copper Mountain to Searle Pass,Recommended Route,"A spectacular segment of the Colorado trail in a breathtaking alpine setting topping out at 12,044'!",black,4.6,57,crested_butte,https://www.mtbproject.com/trail/380438/colorado-trail-copper-mountain-to-searle-pass,https://cdn2.apstatic.com/photos/mtb/7004683_sqsmall_1554821847.jpg,https://cdn2.apstatic.com/photos/mtb/7004683_small_1554821847.jpg,https://cdn2.apstatic.com/photos/mtb/7004683_smallMed_1554821847.jpg,https://cdn2.apstatic.com/photos/mtb/7004683_medium_1554821847.jpg,19.3,2773,-2772,11999,9767,-106.1362,39.4973,All Clear,Some slick spots and snow patches but nothing notable,2020-07-09 17:27:28
